

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modtsp3015_m0p.wav=O19_sfotls_modtsp3015_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 3( 567) -109.382  28.742    0.0001
 0(   1) -138.125 3( 572) -109.402  28.723    0.0002
 0(   1) -138.125 3( 576) -109.340  28.785    0.0003
 0(   1) -138.125 3( 580) -109.262  28.863    0.0018
 0(   1) -138.125 3( 596) -109.134  28.991    0.0013
 0(   1) -138.125 3( 599) -109.126  28.998    0.0103
 0(   1) -138.125 3( 609) -109.106  29.019    0.0008
 0(   1) -138.125 3( 612) -109.018  29.107    0.0060
 0(   1) -138.125 3( 625) -108.926  29.199    0.0172
 0(   1) -138.125 3( 629) -108.872  29.253    0.0064
 0(   1) -138.125 3( 633) -108.937  29.187    0.0011
 0(   1) -138.125 3( 634) -108.857  29.268    0.0114
 0(   1) -138.125 3( 645) -108.837  29.288    0.0449
 0(   1) -138.125 3( 651) -108.764  29.361    0.0388
 0(   1) -138.125 3( 660) -108.717  29.408    0.0072




