
 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modt_m0p.wav=O19_sfotls_modt_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.911 3( 805) -116.581  33.331    0.0004
 0(   1) -149.911 3( 810) -116.550  33.361    0.0000
 0(   1) -149.911 3( 813) -116.542  33.369    0.0000
 0(   1) -149.911 3( 818) -116.524  33.387    0.0000
 0(   1) -149.911 3( 820) -116.505  33.406    0.0000
 0(   1) -149.911 3( 826) -116.459  33.452    0.0001
 0(   1) -149.911 3( 835) -116.422  33.489    0.0001
 0(   1) -149.911 3( 845) -116.372  33.540    0.0000
 0(   1) -149.911 3( 853) -116.353  33.558    0.0000
 0(   1) -149.911 3( 856) -116.337  33.574    0.0001
 0(   1) -149.911 3( 860) -116.314  33.597    0.0000
 0(   1) -149.911 3( 866) -116.275  33.636    0.0001
 0(   1) -149.911 3( 867) -116.272  33.639    0.0000
 0(   1) -149.911 3( 873) -116.246  33.665    0.0004
 0(   1) -149.911 3( 878) -116.211  33.700    0.0001
 0(   1) -149.911 3( 891) -116.158  33.754    0.0000
 0(   1) -149.911 3( 896) -116.131  33.780    0.0003
 0(   1) -149.911 3( 904) -116.094  33.817    0.0002
 0(   1) -149.911 3( 909) -116.056  33.855    0.0001
 0(   1) -149.911 3( 914) -116.042  33.869    0.0000
 0(   1) -149.911 3( 920) -116.005  33.906    0.0000
 0(   1) -149.911 3( 926) -115.986  33.926    0.0001
 0(   1) -149.911 3( 933) -115.936  33.975    0.0000
 0(   1) -149.911 3( 938) -115.917  33.994    0.0001
 0(   1) -149.911 3( 953) -115.859  34.053    0.0000
 0(   1) -149.911 3( 961) -115.830  34.081    0.0003
 0(   1) -149.911 3( 966) -115.803  34.109    0.0002
 0(   1) -149.911 3( 973) -115.775  34.136    0.0000
 0(   1) -149.911 3( 979) -115.737  34.174    0.0002
 0(   1) -149.911 3( 981) -115.735  34.176    0.0001
 0(   1) -149.911 3( 995) -115.667  34.245    0.0001
 0(   1) -149.911 3(1003) -115.642  34.269    0.0002
 0(   1) -149.911 3(1013) -115.582  34.330    0.0000
 0(   1) -149.911 3(1015) -115.586  34.325    0.0000
 0(   1) -149.911 3(1018) -115.560  34.351    0.0000
 0(   1) -149.911 3(1027) -115.530  34.381    0.0001
 0(   1) -149.911 3(1031) -115.513  34.398    0.0000
 0(   1) -149.911 3(1042) -115.461  34.450    0.0000
 0(   1) -149.911 3(1045) -115.443  34.469    0.0000


         n  l 2j 2tz

orbit :   0  2  5  1    n 0d_5/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.911 5(   1) -138.772  11.140    3.4828
 0(   1) -149.911 5(   5) -135.537  14.375    0.0208
 0(   1) -149.911 5(   8) -133.716  16.195    0.0145
 0(   1) -149.911 5(  14) -131.187  18.725    0.0048
 0(   1) -149.911 5(  16) -130.494  19.417    0.0019
 0(   1) -149.911 5(  19) -129.597  20.314    0.0299
 0(   1) -149.911 5(  27) -128.264  21.648    0.0063
 0(   1) -149.911 5(  30) -128.033  21.879    0.0035
 0(   1) -149.911 5(  32) -127.816  22.095    0.0046
 0(   1) -149.911 5(  39) -127.128  22.783    0.0111
 0(   1) -149.911 5(  42) -126.765  23.147    0.0000
 0(   1) -149.911 5(  46) -126.589  23.322    0.0106
 0(   1) -149.911 5(  47) -126.354  23.557    0.0008
 0(   1) -149.911 5(  49) -126.121  23.791    0.0028
 0(   1) -149.911 5(  51) -126.040  23.871    0.0002
 0(   1) -149.911 5(  57) -125.622  24.289    0.0000
 0(   1) -149.911 5(  62) -125.419  24.492    0.0008
 0(   1) -149.911 5(  66) -125.242  24.669    0.0030
 0(   1) -149.911 5(  69) -125.135  24.776    0.0001
 0(   1) -149.911 5(  76) -124.772  25.139    0.0001
 0(   1) -149.911 5(  82) -124.481  25.431    0.0019
 0(   1) -149.911 5(  87) -124.336  25.575    0.0002
 0(   1) -149.911 5(  89) -124.302  25.609    0.0005
 0(   1) -149.911 5(  92) -124.223  25.688    0.0001
 0(   1) -149.911 5( 100) -124.067  25.845    0.0001
 0(   1) -149.911 5( 103) -123.993  25.919    0.0001
 0(   1) -149.911 5( 108) -123.859  26.053    0.0011
 0(   1) -149.911 5( 114) -123.660  26.251    0.0000
 0(   1) -149.911 5( 115) -123.625  26.286    0.0003
 0(   1) -149.911 5( 120) -123.505  26.406    0.0000
 0(   1) -149.911 5( 124) -123.371  26.540    0.0001
 0(   1) -149.911 5( 127) -123.314  26.597    0.0001
 0(   1) -149.911 5( 132) -123.203  26.709    0.0008
 0(   1) -149.911 5( 137) -123.102  26.810    0.0001
 0(   1) -149.911 5( 139) -123.019  26.893    0.0007
 0(   1) -149.911 5( 142) -122.971  26.941    0.0000
 0(   1) -149.911 5( 146) -122.862  27.049    0.0000
 0(   1) -149.911 5( 148) -122.802  27.109    0.0003
 0(   1) -149.911 5( 156) -122.654  27.257    0.0021
 0(   1) -149.911 5( 158) -122.580  27.332    0.0003
 0(   1) -149.911 5( 163) -122.523  27.388    0.0008
 0(   1) -149.911 5( 167) -122.419  27.493    0.0001
 0(   1) -149.911 5( 169) -122.323  27.588    0.0006
 0(   1) -149.911 5( 180) -122.213  27.699    0.0000
 0(   1) -149.911 5( 181) -122.193  27.718    0.0000
 0(   1) -149.911 5( 188) -122.066  27.845    0.0001
 0(   1) -149.911 5( 191) -121.995  27.916    0.0004
 0(   1) -149.911 5( 193) -121.954  27.957    0.0003
 0(   1) -149.911 5( 202) -121.785  28.127    0.0001
 0(   1) -149.911 5( 203) -121.768  28.143    0.0007
 0(   1) -149.911 5( 207) -121.742  28.170    0.0000
 0(   1) -149.911 5( 213) -121.623  28.289    0.0000
 0(   1) -149.911 5( 217) -121.600  28.311    0.0000
 0(   1) -149.911 5( 221) -121.489  28.423    0.0000
 0(   1) -149.911 5( 227) -121.391  28.520    0.0007
 0(   1) -149.911 5( 232) -121.264  28.647    0.0001
 0(   1) -149.911 5( 238) -121.211  28.700    0.0000
 0(   1) -149.911 5( 241) -121.143  28.768    0.0000
 0(   1) -149.911 5( 245) -121.133  28.778    0.0000
 0(   1) -149.911 5( 247) -121.132  28.779    0.0000
 0(   1) -149.911 5( 255) -121.023  28.889    0.0001
 0(   1) -149.911 5( 260) -120.959  28.952    0.0002
 0(   1) -149.911 5( 267) -120.787  29.124    0.0001
 0(   1) -149.911 5( 275) -120.710  29.201    0.0000
 0(   1) -149.911 5( 279) -120.678  29.233    0.0001
 0(   1) -149.911 5( 283) -120.648  29.263    0.0000
 0(   1) -149.911 5( 290) -120.550  29.361    0.0000
 0(   1) -149.911 5( 292) -120.510  29.401    0.0000
 0(   1) -149.911 5( 297) -120.502  29.409    0.0002
 0(   1) -149.911 5( 301) -120.448  29.463    0.0006
 0(   1) -149.911 5( 312) -120.291  29.620    0.0000
 0(   1) -149.911 5( 321) -120.178  29.734    0.0003
 0(   1) -149.911 5( 326) -120.114  29.798    0.0001
 0(   1) -149.911 5( 332) -120.080  29.832    0.0002
 0(   1) -149.911 5( 337) -120.026  29.886    0.0002
 0(   1) -149.911 5( 338) -120.022  29.889    0.0001
 0(   1) -149.911 5( 342) -119.923  29.988    0.0000
 0(   1) -149.911 5( 346) -119.902  30.010    0.0010
 0(   1) -149.911 5( 350) -119.862  30.050    0.0000
 0(   1) -149.911 5( 357) -119.801  30.110    0.0001
 0(   1) -149.911 5( 366) -119.719  30.192    0.0000
 0(   1) -149.911 5( 368) -119.675  30.237    0.0001
 0(   1) -149.911 5( 371) -119.652  30.259    0.0002
 0(   1) -149.911 5( 377) -119.587  30.324    0.0002
 0(   1) -149.911 5( 384) -119.542  30.369    0.0000
 0(   1) -149.911 5( 389) -119.499  30.412    0.0001
 0(   1) -149.911 5( 391) -119.474  30.437    0.0003
 0(   1) -149.911 5( 397) -119.402  30.510    0.0001
 0(   1) -149.911 5( 400) -119.378  30.534    0.0001
 0(   1) -149.911 5( 405) -119.337  30.574    0.0006
 0(   1) -149.911 5( 406) -119.331  30.580    0.0009
 0(   1) -149.911 5( 419) -119.215  30.696    0.0001
 0(   1) -149.911 5( 424) -119.191  30.720    0.0001
 0(   1) -149.911 5( 426) -119.154  30.757    0.0002
 0(   1) -149.911 5( 428) -119.131  30.780    0.0007
 0(   1) -149.911 5( 433) -119.075  30.837    0.0009
 0(   1) -149.911 5( 436) -119.058  30.853    0.0006
 0(   1) -149.911 5( 443) -119.014  30.897    0.0001
 0(   1) -149.911 5( 449) -118.975  30.936    0.0001
 0(   1) -149.911 5( 457) -118.889  31.022    0.0001
 0(   1) -149.911 5( 462) -118.823  31.088    0.0002
 0(   1) -149.911 5( 470) -118.777  31.134    0.0002
 0(   1) -149.911 5( 471) -118.764  31.147    0.0004
 0(   1) -149.911 5( 475) -118.731  31.180    0.0001
 0(   1) -149.911 5( 482) -118.672  31.239    0.0005
 0(   1) -149.911 5( 490) -118.623  31.288    0.0001
 0(   1) -149.911 5( 498) -118.571  31.340    0.0001
 0(   1) -149.911 5( 502) -118.515  31.396    0.0003
 0(   1) -149.911 5( 506) -118.482  31.429    0.0000
 0(   1) -149.911 5( 510) -118.459  31.453    0.0007
 0(   1) -149.911 5( 517) -118.385  31.526    0.0046
 0(   1) -149.911 5( 520) -118.381  31.530    0.0003
 0(   1) -149.911 5( 522) -118.370  31.542    0.0000
 0(   1) -149.911 5( 532) -118.306  31.605    0.0001
 0(   1) -149.911 5( 534) -118.296  31.616    0.0000
 0(   1) -149.911 5( 538) -118.253  31.658    0.0000
 0(   1) -149.911 5( 541) -118.205  31.706    0.0000
 0(   1) -149.911 5( 546) -118.171  31.740    0.0000
 0(   1) -149.911 5( 553) -118.114  31.798    0.0000
 0(   1) -149.911 5( 558) -118.100  31.811    0.0002
 0(   1) -149.911 5( 562) -118.055  31.857    0.0000
 0(   1) -149.911 5( 563) -118.051  31.860    0.0001
 0(   1) -149.911 5( 572) -118.007  31.904    0.0002
 0(   1) -149.911 5( 580) -117.960  31.952    0.0000
 0(   1) -149.911 5( 584) -117.920  31.991    0.0000
 0(   1) -149.911 5( 591) -117.862  32.049    0.0000
 0(   1) -149.911 5( 595) -117.835  32.076    0.0001
 0(   1) -149.911 5( 603) -117.773  32.139    0.0003
 0(   1) -149.911 5( 609) -117.741  32.171    0.0000
 0(   1) -149.911 5( 616) -117.711  32.201    0.0003
 0(   1) -149.911 5( 619) -117.674  32.237    0.0003
 0(   1) -149.911 5( 623) -117.653  32.258    0.0000
 0(   1) -149.911 5( 624) -117.646  32.265    0.0003
 0(   1) -149.911 5( 633) -117.600  32.311    0.0003
 0(   1) -149.911 5( 642) -117.565  32.346    0.0000
 0(   1) -149.911 5( 645) -117.544  32.367    0.0001
 0(   1) -149.911 5( 647) -117.521  32.391    0.0003
 0(   1) -149.911 5( 656) -117.480  32.431    0.0000
 0(   1) -149.911 5( 662) -117.420  32.491    0.0000
 0(   1) -149.911 5( 669) -117.382  32.529    0.0005
 0(   1) -149.911 5( 671) -117.371  32.540    0.0002
 0(   1) -149.911 5( 675) -117.347  32.564    0.0000
 0(   1) -149.911 5( 678) -117.328  32.583    0.0000
 0(   1) -149.911 5( 688) -117.258  32.654    0.0000
 0(   1) -149.911 5( 691) -117.237  32.674    0.0000
 0(   1) -149.911 5( 692) -117.228  32.683    0.0000
 0(   1) -149.911 5( 701) -117.164  32.747    0.0004
 0(   1) -149.911 5( 704) -117.145  32.766    0.0000
 0(   1) -149.911 5( 711) -117.107  32.805    0.0003
 0(   1) -149.911 5( 717) -117.068  32.843    0.0000
 0(   1) -149.911 5( 719) -117.065  32.847    0.0000
 0(   1) -149.911 5( 723) -117.038  32.873    0.0000
 0(   1) -149.911 5( 724) -117.033  32.879    0.0000
 0(   1) -149.911 5( 733) -116.977  32.934    0.0000
 0(   1) -149.911 5( 739) -116.931  32.980    0.0001
 0(   1) -149.911 5( 742) -116.924  32.988    0.0001
 0(   1) -149.911 5( 748) -116.910  33.001    0.0000
 0(   1) -149.911 5( 755) -116.852  33.059    0.0002
 0(   1) -149.911 5( 762) -116.808  33.103    0.0000
 0(   1) -149.911 5( 767) -116.791  33.121    0.0001
 0(   1) -149.911 5( 773) -116.768  33.143    0.0001
 0(   1) -149.911 5( 778) -116.727  33.185    0.0000
 0(   1) -149.911 5( 782) -116.690  33.221    0.0003
 0(   1) -149.911 5( 787) -116.674  33.237    0.0000
 0(   1) -149.911 5( 792) -116.647  33.264    0.0000
 0(   1) -149.911 5( 798) -116.613  33.298    0.0000
 0(   1) -149.911 5( 803) -116.588  33.324    0.0000
 0(   1) -149.911 5( 811) -116.554  33.358    0.0001
 0(   1) -149.911 5( 815) -116.533  33.378    0.0004
 0(   1) -149.911 5( 824) -116.468  33.444    0.0000
 0(   1) -149.911 5( 831) -116.443  33.469    0.0001
 0(   1) -149.911 5( 833) -116.427  33.484    0.0002
 0(   1) -149.911 5( 840) -116.410  33.502    0.0002
