 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3H_900mb_CF4_90-10.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 110.00 MeV   6.348E-04  2.803E-07   95.48 m      4.18 m      1.47 m   
 120.00 MeV   5.917E-04  2.587E-07  111.79 m      4.79 m      1.71 m   
 130.00 MeV   5.548E-04  2.403E-07  129.23 m      5.40 m      1.97 m   
 140.00 MeV   5.228E-04  2.245E-07  147.79 m      6.02 m      2.24 m   
 150.00 MeV   4.948E-04  2.106E-07  167.44 m      6.64 m      2.53 m   
 160.00 MeV   4.700E-04  1.985E-07  188.17 m      7.28 m      2.84 m   
 170.00 MeV   4.480E-04  1.877E-07  209.95 m      7.92 m      3.16 m   
 180.00 MeV   4.282E-04  1.780E-07  232.77 m      8.57 m      3.49 m   
 200.00 MeV   3.942E-04  1.616E-07  281.43 m     11.02 m      4.20 m   
 225.00 MeV   3.598E-04  1.449E-07  347.79 m     14.52 m      5.15 m   
 250.00 MeV   3.318E-04  1.315E-07  420.12 m     17.81 m      6.19 m   
 275.00 MeV   3.086E-04  1.204E-07  498.22 m     21.00 m      7.30 m   
 300.00 MeV   2.891E-04  1.110E-07  581.87 m     24.16 m      8.49 m   
 325.00 MeV   2.725E-04  1.031E-07  670.90 m     27.30 m      9.74 m   
 350.00 MeV   2.581E-04  9.628E-08  765.14 m     30.43 m     11.06 m   
