 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 08, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/2H_silicon.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  22.50 MeV   7.363E+00  3.998E-03    1.75 mm    73.90 um    56.38 um  
  25.00 MeV   6.788E+00  3.636E-03    2.10 mm    90.19 um    67.22 um  
  27.50 MeV   6.304E+00  3.338E-03    2.48 mm   106.19 um    78.87 um  
  30.00 MeV   5.891E+00  3.086E-03    2.89 mm   122.12 um    91.29 um  
  32.50 MeV   5.535E+00  2.871E-03    3.33 mm   138.12 um   104.48 um  
  35.00 MeV   5.223E+00  2.686E-03    3.79 mm   154.27 um   118.42 um  
  37.50 MeV   4.949E+00  2.523E-03    4.28 mm   170.61 um   133.09 um  
  40.00 MeV   4.705E+00  2.380E-03    4.80 mm   187.16 um   148.49 um  
  45.00 MeV   4.289E+00  2.140E-03    5.91 mm   247.21 um   181.43 um  
  50.00 MeV   3.948E+00  1.945E-03    7.12 mm   303.87 um   217.14 um  
  55.00 MeV   3.663E+00  1.784E-03    8.43 mm   359.26 um   255.55 um  
  60.00 MeV   3.421E+00  1.649E-03    9.84 mm   414.31 um   296.58 um  
  65.00 MeV   3.213E+00  1.533E-03   11.35 mm   469.52 um   340.18 um  
  70.00 MeV   3.031E+00  1.433E-03   12.95 mm   525.14 um   386.28 um  
  80.00 MeV   2.730E+00  1.270E-03   16.42 mm   725.97 um   485.78 um  
  90.00 MeV   2.491E+00  1.140E-03   20.25 mm   913.31 um   594.70 um  
 100.00 MeV   2.295E+00  1.036E-03   24.42 mm     1.10 mm   712.67 um  
 110.00 MeV   2.132E+00  9.498E-04   28.94 mm     1.28 mm   839.35 um  
 120.00 MeV   1.994E+00  8.772E-04   33.78 mm     1.46 mm   974.45 um  
 130.00 MeV   1.875E+00  8.154E-04   38.94 mm     1.64 mm     1.12 mm  
 140.00 MeV   1.772E+00  7.620E-04   44.42 mm     1.83 mm     1.27 mm  
