 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_900mb_CF4.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9945E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  45.00 MeV   5.394E-04  2.167E-07   45.99 m      1.92 m      1.17 m   
  50.00 MeV   4.958E-04  1.968E-07   55.65 m      2.38 m      1.41 m   
  55.00 MeV   4.596E-04  1.803E-07   66.11 m      2.81 m      1.67 m   
  60.00 MeV   4.291E-04  1.665E-07   77.35 m      3.25 m      1.95 m   
  65.00 MeV   4.029E-04  1.547E-07   89.36 m      3.69 m      2.24 m   
  70.00 MeV   3.803E-04  1.445E-07  102.12 m      4.13 m      2.55 m   
  80.00 MeV   3.430E-04  1.279E-07  129.77 m      5.72 m      3.22 m   
  90.00 MeV   3.136E-04  1.147E-07  160.23 m      7.20 m      3.96 m   
 100.00 MeV   2.897E-04  1.041E-07  193.37 m      8.64 m      4.75 m   
 110.00 MeV   2.699E-04  9.538E-08  229.09 m     10.05 m      5.59 m   
 120.00 MeV   2.533E-04  8.803E-08  267.29 m     11.46 m      6.49 m   
 130.00 MeV   2.391E-04  8.177E-08  307.87 m     12.87 m      7.44 m   
 140.00 MeV   2.269E-04  7.637E-08  350.76 m     14.29 m      8.43 m   
 150.00 MeV   2.162E-04  7.166E-08  395.86 m     15.71 m      9.47 m   
 160.00 MeV   2.068E-04  6.751E-08  443.10 m     17.14 m     10.55 m   
 170.00 MeV   1.984E-04  6.384E-08  492.42 m     18.57 m     11.67 m   
 180.00 MeV   1.910E-04  6.056E-08  543.73 m     20.01 m     12.84 m   
 200.00 MeV   1.782E-04  5.494E-08  652.02 m     25.34 m     15.27 m   
 225.00 MeV   1.654E-04  4.927E-08  797.49 m     32.80 m     18.49 m   
 250.00 MeV   1.551E-04  4.469E-08  953.43 m     39.70 m     21.89 m   
 275.00 MeV   1.466E-04  4.091E-08    1.12 km    46.27 m     25.46 m   
 300.00 MeV   1.396E-04  3.774E-08    1.29 km    52.63 m     29.18 m   
 325.00 MeV   1.336E-04  3.504E-08    1.48 km    58.84 m     33.02 m   
 350.00 MeV   1.284E-04  3.272E-08    1.67 km    64.93 m     36.97 m   
 375.00 MeV   1.240E-04  3.069E-08    1.87 km    70.91 m     41.03 m   
