 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_900mb_CF4.txt

 Ion = Lithium [3] , Mass = 11.04372 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9945E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  18.00 MeV   6.898E-02  4.032E-05  178.25 mm     5.67 mm     2.41 mm  
  20.00 MeV   6.369E-02  3.672E-05  208.41 mm     7.12 mm     2.62 mm  
  22.50 MeV   5.828E-02  3.307E-05  249.44 mm     9.21 mm     2.93 mm  
  25.00 MeV   5.396E-02  3.011E-05  294.01 mm    11.18 mm     3.26 mm  
  27.50 MeV   4.995E-02  2.766E-05  342.15 mm    13.12 mm     3.64 mm  
  30.00 MeV   4.676E-02  2.559E-05  393.86 mm    15.05 mm     4.04 mm  
  32.50 MeV   4.398E-02  2.382E-05  448.97 mm    16.97 mm     4.47 mm  
  35.00 MeV   4.154E-02  2.230E-05  507.44 mm    18.91 mm     4.94 mm  
  37.50 MeV   3.938E-02  2.096E-05  569.23 mm    20.86 mm     5.43 mm  
  40.00 MeV   3.746E-02  1.978E-05  634.29 mm    22.84 mm     5.95 mm  
  45.00 MeV   3.417E-02  1.780E-05  774.04 mm    30.27 mm     7.07 mm  
  50.00 MeV   3.145E-02  1.619E-05  926.55 mm    37.23 mm     8.30 mm  
  55.00 MeV   2.916E-02  1.486E-05    1.09 m     44.01 mm     9.62 mm  
  60.00 MeV   2.722E-02  1.374E-05    1.27 m     50.74 mm    11.05 mm  
  65.00 MeV   2.553E-02  1.279E-05    1.46 m     57.47 mm    12.57 mm  
  70.00 MeV   2.406E-02  1.196E-05    1.66 m     64.24 mm    14.18 mm  
  80.00 MeV   2.161E-02  1.060E-05    2.10 m     89.46 mm    17.68 mm  
  90.00 MeV   1.965E-02  9.531E-06    2.58 m    112.92 mm    21.54 mm  
 100.00 MeV   1.804E-02  8.664E-06    3.11 m    135.79 mm    25.75 mm  
 110.00 MeV   1.670E-02  7.947E-06    3.69 m    158.55 mm    30.29 mm  
 120.00 MeV   1.556E-02  7.344E-06    4.31 m    181.42 mm    35.17 mm  
 130.00 MeV   1.457E-02  6.830E-06    4.98 m    204.52 mm    40.38 mm  
 140.00 MeV   1.372E-02  6.385E-06    5.68 m    227.92 mm    45.90 mm  
 150.00 MeV   1.296E-02  5.997E-06    6.43 m    251.65 mm    51.74 mm  
 160.00 MeV   1.230E-02  5.655E-06    7.22 m    275.73 mm    57.90 mm  
 170.00 MeV   1.170E-02  5.352E-06    8.06 m    300.18 mm    64.36 mm  
 180.00 MeV   1.116E-02  5.081E-06    8.93 m    325.01 mm    71.13 mm  
 200.00 MeV   1.024E-02  4.616E-06   10.80 m    419.71 mm    85.56 mm  
 225.00 MeV   9.296E-03  4.146E-06   13.37 m    555.34 mm   105.26 mm  
 250.00 MeV   8.526E-03  3.766E-06   16.17 m    683.58 mm   126.75 mm  
 275.00 MeV   7.885E-03  3.452E-06   19.22 m    809.10 mm   149.98 mm  
 300.00 MeV   7.343E-03  3.188E-06   22.51 m    933.97 mm   174.92 mm  
 325.00 MeV   6.878E-03  2.963E-06   26.02 m      1.06 m    201.53 mm  
 350.00 MeV   6.475E-03  2.768E-06   29.77 m      1.19 m    229.78 mm  
 375.00 MeV   6.121E-03  2.599E-06   33.74 m      1.31 m    259.63 mm  
 400.00 MeV   5.808E-03  2.450E-06   37.93 m      1.44 m    291.06 mm  
 450.00 MeV   5.280E-03  2.199E-06   46.96 m      1.93 m    358.56 mm  
 500.00 MeV   4.850E-03  1.996E-06   56.84 m      2.38 m    432.04 mm  
 550.00 MeV   4.493E-03  1.829E-06   67.55 m      2.83 m    511.32 mm  
 600.00 MeV   4.192E-03  1.688E-06   79.07 m      3.27 m    596.21 mm  
 650.00 MeV   3.934E-03  1.568E-06   91.39 m      3.70 m    686.55 mm  
 700.00 MeV   3.710E-03  1.465E-06  104.47 m      4.14 m    782.18 mm  
 800.00 MeV   3.343E-03  1.296E-06  132.87 m      5.78 m    988.78 mm  
 900.00 MeV   3.052E-03  1.162E-06  164.17 m      7.29 m      1.21 m   
   1.00 GeV   2.817E-03  1.055E-06  198.28 m      8.75 m      1.46 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.2319E+01                keV / (ug/cm2) 
  2.2319E+01                MeV / (mg/cm2) 
  2.2319E+04                keV / (mg/cm2) 
  2.0022E+02                 eV / (1E15 atoms/cm2)
  8.9767E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
