


 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_mod_j0p.wav=O19_sfotls_mod_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 5( 238) -120.586  29.117    0.0000
 0(   1) -149.703 5( 243) -120.546  29.157    0.0001
 0(   1) -149.703 5( 247) -120.513  29.190    0.0000
 0(   1) -149.703 5( 252) -120.438  29.265    0.0004
 0(   1) -149.703 5( 259) -120.344  29.359    0.0000
 0(   1) -149.703 5( 266) -120.237  29.466    0.0001
 0(   1) -149.703 5( 270) -120.184  29.519    0.0000
 0(   1) -149.703 5( 279) -120.084  29.619    0.0000
 0(   1) -149.703 5( 284) -120.034  29.669    0.0000
 0(   1) -149.703 5( 289) -119.977  29.726    0.0000
 0(   1) -149.703 5( 293) -119.913  29.790    0.0001
 0(   1) -149.703 5( 295) -119.897  29.806    0.0004
 0(   1) -149.703 5( 309) -119.747  29.956    0.0001
 0(   1) -149.703 5( 316) -119.710  29.993    0.0001
 0(   1) -149.703 5( 319) -119.656  30.046    0.0002
 0(   1) -149.703 5( 324) -119.602  30.101    0.0002
 0(   1) -149.703 5( 332) -119.468  30.235    0.0003
 0(   1) -149.703 5( 333) -119.464  30.238    0.0003
 0(   1) -149.703 5( 335) -119.418  30.285    0.0000
 0(   1) -149.703 5( 340) -119.384  30.319    0.0001
 0(   1) -149.703 5( 345) -119.312  30.391    0.0002
 0(   1) -149.703 5( 348) -119.274  30.429    0.0006
 0(   1) -149.703 5( 354) -119.300  30.403    0.0000
 0(   1) -149.703 5( 358) -119.174  30.529    0.0003
 0(   1) -149.703 5( 361) -119.170  30.533    0.0001
 0(   1) -149.703 5( 371) -119.073  30.630    0.0001
 0(   1) -149.703 5( 377) -119.007  30.695    0.0001
 0(   1) -149.703 5( 383) -118.966  30.737    0.0000
 0(   1) -149.703 5( 385) -118.938  30.765    0.0004
 0(   1) -149.703 5( 387) -118.926  30.777    0.0002
 0(   1) -149.703 5( 393) -118.859  30.843    0.0002
 0(   1) -149.703 5( 400) -118.811  30.892    0.0010


         n  l 2j 2tz

orbit :   1  0  1  1    n 1s_1/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 1(   3) -137.216  12.487    0.1550
 0(   1) -149.703 1(  13) -130.605  19.097    0.0082
 0(   1) -149.703 1(  18) -128.970  20.733    0.0004
 0(   1) -149.703 1(  25) -127.914  21.789    0.0004
 0(   1) -149.703 1(  34) -126.888  22.815    0.0014
 0(   1) -149.703 1(  39) -126.600  23.103    0.0004
 0(   1) -149.703 1(  40) -126.502  23.201    0.0005
 0(   1) -149.703 1(  51) -125.420  24.283    0.0003
 0(   1) -149.703 1(  57) -125.191  24.512    0.0001
 0(   1) -149.703 1(  58) -125.181  24.522    0.0000
 0(   1) -149.703 1(  74) -124.364  25.338    0.0000
 0(   1) -149.703 1(  79) -124.176  25.527    0.0000
 0(   1) -149.703 1(  84) -123.953  25.750    0.0002
 0(   1) -149.703 1(  96) -123.659  26.043    0.0000
 0(   1) -149.703 1( 103) -123.506  26.196    0.0000
 0(   1) -149.703 1( 111) -123.233  26.469    0.0000
 0(   1) -149.703 1( 123) -122.885  26.818    0.0001
 0(   1) -149.703 1( 137) -122.530  27.172    0.0000
 0(   1) -149.703 1( 147) -122.261  27.441    0.0001
 0(   1) -149.703 1( 159) -122.012  27.691    0.0000
 0(   1) -149.703 1( 168) -121.849  27.854    0.0000
 0(   1) -149.703 1( 176) -121.719  27.984    0.0001
 0(   1) -149.703 1( 183) -121.602  28.101    0.0000
 0(   1) -149.703 1( 191) -121.431  28.271    0.0001
 0(   1) -149.703 1( 214) -121.062  28.640    0.0001
 0(   1) -149.703 1( 220) -120.922  28.781    0.0001
 0(   1) -149.703 1( 230) -120.739  28.963    0.0000
 0(   1) -149.703 1( 240) -120.621  29.082    0.0002
 0(   1) -149.703 1( 255) -120.448  29.255    0.0000
 0(   1) -149.703 1( 261) -120.335  29.368    0.0004
 0(   1) -149.703 1( 274) -120.122  29.580    0.0005
 0(   1) -149.703 1( 286) -120.017  29.686    0.0005
 0(   1) -149.703 1( 299) -119.874  29.829    0.0000
 0(   1) -149.703 1( 301) -119.819  29.884    0.0001
 0(   1) -149.703 1( 320) -119.611  30.092    0.0002
 0(   1) -149.703 1( 334) -119.458  30.245    0.0000
 0(   1) -149.703 1( 336) -119.429  30.274    0.0002
 0(   1) -149.703 1( 346) -119.289  30.414    0.0000
 0(   1) -149.703 1( 363) -119.165  30.538    0.0000
 0(   1) -149.703 1( 367) -119.126  30.576    0.0000
 0(   1) -149.703 1( 375) -119.024  30.679    0.0000
 0(   1) -149.703 1( 389) -118.942  30.761    0.0000
 0(   1) -149.703 1( 394) -118.848  30.854    0.0000
 0(   1) -149.703 1( 399) -118.816  30.887    0.0000




