

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_psdmk2_sfotls_j0p.wav=O19_psdmk2_sfotls_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 3( 491) -110.135  29.530    0.0089
 0(   1) -139.666 3( 504) -110.040  29.626    0.0023
 0(   1) -139.666 3( 506) -109.961  29.705    0.0268
 0(   1) -139.666 3( 513) -109.873  29.793    0.0101
 0(   1) -139.666 3( 514) -109.903  29.763    0.0156
 0(   1) -139.666 3( 520) -109.791  29.875    0.0005
 0(   1) -139.666 3( 524) -109.746  29.920    0.0026
 0(   1) -139.666 3( 528) -109.703  29.962    0.0015
 0(   1) -139.666 3( 531) -109.633  30.033    0.0183
 0(   1) -139.666 3( 545) -109.593  30.073    0.0010
 0(   1) -139.666 3( 548) -109.501  30.165    0.0002
 0(   1) -139.666 3( 557) -109.387  30.279    0.0001
 0(   1) -139.666 3( 560) -109.482  30.184    0.1621
 0(   1) -139.666 3( 561) -109.439  30.227    0.0131
 0(   1) -139.666 3( 567) -109.328  30.337    0.0008
 0(   1) -139.666 3( 576) -109.276  30.389    0.0042
 0(   1) -139.666 3( 579) -109.264  30.402    0.0034
 0(   1) -139.666 3( 589) -109.137  30.529    0.0126
 0(   1) -139.666 3( 592) -109.089  30.576    0.0400
 0(   1) -139.666 3( 598) -108.934  30.732    0.0036
 0(   1) -139.666 3( 605) -108.940  30.726    0.0144
 0(   1) -139.666 3( 613) -108.825  30.840    0.0065
 0(   1) -139.666 3( 618) -108.836  30.830    0.0505
 0(   1) -139.666 3( 619) -108.845  30.820    0.0019
 0(   1) -139.666 3( 622) -108.813  30.853    0.0078
 0(   1) -139.666 3( 625) -108.773  30.893    0.0018
 0(   1) -139.666 3( 633) -108.751  30.914    0.0058
 0(   1) -139.666 3( 640) -108.608  31.058    0.0005
 0(   1) -139.666 3( 651) -108.520  31.146    0.0000
 0(   1) -139.666 3( 653) -108.539  31.126    0.0022
 0(   1) -139.666 3( 654) -108.452  31.213    0.0026
 0(   1) -139.666 3( 663) -108.437  31.228    0.0029
 0(   1) -139.666 3( 672) -108.348  31.317    0.0002
 0(   1) -139.666 3( 676) -108.312  31.354    0.0216
 0(   1) -139.666 3( 679) -108.304  31.361    0.0076
 0(   1) -139.666 3( 688) -108.215  31.450    0.0026
 0(   1) -139.666 3( 691) -108.158  31.508    0.0088
 0(   1) -139.666 3( 694) -108.077  31.589    0.0008
 0(   1) -139.666 3( 696) -108.166  31.499    0.0862




