

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_psdmk2_sfotls_j0p.wav=O19_psdmk2_sfotls_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 5( 141) -111.995  27.671    0.0001
 0(   1) -139.666 5( 146) -111.899  27.766    0.0006
 0(   1) -139.666 5( 148) -111.852  27.814    0.0000
 0(   1) -139.666 5( 152) -111.732  27.933    0.0000
 0(   1) -139.666 5( 153) -111.702  27.964    0.0000
 0(   1) -139.666 5( 162) -111.550  28.115    0.0016
 0(   1) -139.666 5( 165) -111.469  28.197    0.0001
 0(   1) -139.666 5( 168) -111.408  28.257    0.0003
 0(   1) -139.666 5( 174) -111.255  28.411    0.0000
 0(   1) -139.666 5( 175) -111.212  28.454    0.0005
 0(   1) -139.666 5( 181) -111.138  28.527    0.0000
 0(   1) -139.666 5( 189) -111.036  28.630    0.0002
 0(   1) -139.666 5( 193) -110.946  28.720    0.0000
 0(   1) -139.666 5( 197) -110.874  28.792    0.0001
 0(   1) -139.666 5( 199) -110.825  28.841    0.0002
 0(   1) -139.666 5( 207) -110.693  28.973    0.0000
 0(   1) -139.666 5( 208) -110.658  29.008    0.0002
 0(   1) -139.666 5( 213) -110.612  29.053    0.0003
 0(   1) -139.666 5( 216) -110.511  29.155    0.0000
 0(   1) -139.666 5( 222) -110.439  29.226    0.0001
 0(   1) -139.666 5( 224) -110.381  29.285    0.0001
 0(   1) -139.666 5( 231) -110.280  29.385    0.0006
 0(   1) -139.666 5( 236) -110.149  29.516    0.0001
 0(   1) -139.666 5( 241) -110.061  29.605    0.0000
 0(   1) -139.666 5( 244) -110.031  29.634    0.0000
 0(   1) -139.666 5( 248) -109.996  29.670    0.0000
 0(   1) -139.666 5( 257) -109.863  29.803    0.0002
 0(   1) -139.666 5( 264) -109.784  29.882    0.0000
 0(   1) -139.666 5( 270) -109.659  30.007    0.0000
 0(   1) -139.666 5( 276) -109.595  30.070    0.0000
 0(   1) -139.666 5( 280) -109.551  30.115    0.0001
 0(   1) -139.666 5( 288) -109.469  30.197    0.0000
 0(   1) -139.666 5( 293) -109.416  30.250    0.0000
 0(   1) -139.666 5( 295) -109.381  30.285    0.0001
 0(   1) -139.666 5( 302) -109.329  30.336    0.0004
 0(   1) -139.666 5( 312) -109.178  30.488    0.0000
 0(   1) -139.666 5( 320) -109.071  30.595    0.0002
 0(   1) -139.666 5( 327) -109.009  30.657    0.0000
 0(   1) -139.666 5( 330) -108.960  30.706    0.0002
 0(   1) -139.666 5( 332) -108.933  30.732    0.0001
 0(   1) -139.666 5( 335) -108.916  30.750    0.0003
 0(   1) -139.666 5( 343) -108.813  30.853    0.0000
 0(   1) -139.666 5( 346) -108.794  30.872    0.0006
 0(   1) -139.666 5( 347) -108.755  30.911    0.0002
 0(   1) -139.666 5( 356) -108.694  30.972    0.0001
 0(   1) -139.666 5( 363) -108.623  31.043    0.0000
 0(   1) -139.666 5( 368) -108.561  31.104    0.0001
 0(   1) -139.666 5( 370) -108.538  31.128    0.0002
 0(   1) -139.666 5( 376) -108.478  31.188    0.0003
 0(   1) -139.666 5( 382) -108.438  31.227    0.0000
 0(   1) -139.666 5( 388) -108.390  31.276    0.0003
 0(   1) -139.666 5( 390) -108.376  31.290    0.0000
 0(   1) -139.666 5( 398) -108.285  31.380    0.0001
 0(   1) -139.666 5( 401) -108.262  31.404    0.0000
 0(   1) -139.666 5( 405) -108.220  31.446    0.0010
 0(   1) -139.666 5( 407) -108.204  31.461    0.0002
 0(   1) -139.666 5( 417) -108.113  31.553    0.0002
 0(   1) -139.666 5( 419) -108.093  31.572    0.0000
 0(   1) -139.666 5( 426) -108.036  31.630    0.0001
 0(   1) -139.666 5( 427) -108.023  31.643    0.0008
 0(   1) -139.666 5( 430) -107.976  31.690    0.0010
 0(   1) -139.666 5( 434) -107.959  31.707    0.0001
 0(   1) -139.666 5( 443) -107.896  31.770    0.0000
 0(   1) -139.666 5( 446) -107.868  31.798    0.0001

 0(   1) -139.666 5( 456) -107.773  31.893    0.0001
 0(   1) -139.666 5( 460) -107.729  31.937    0.0004
 0(   1) -139.666 5( 470) -107.654  32.011    0.0002
 0(   1) -139.666 5( 472) -107.646  32.020    0.0001
 0(   1) -139.666 5( 474) -107.611  32.055    0.0000
 0(   1) -139.666 5( 482) -107.554  32.112    0.0003
 0(   1) -139.666 5( 485) -107.519  32.147    0.0001
 0(   1) -139.666 5( 493) -107.464  32.201    0.0001
 0(   1) -139.666 5( 500) -107.400  32.265    0.0002


         n  l 2j 2tz

orbit :   1  0  1  1    n 1s_1/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 1(   3) -129.578  10.088    0.1448
 0(   1) -139.666 1(  12) -123.680  15.986    0.0090
 0(   1) -139.666 1(  25) -119.680  19.986    0.0003
 0(   1) -139.666 1(  29) -118.309  21.357    0.0002
 0(   1) -139.666 1(  33) -117.293  22.373    0.0002
 0(   1) -139.666 1(  38) -116.657  23.009    0.0002
 0(   1) -139.666 1(  43) -115.865  23.801    0.0008
 0(   1) -139.666 1(  53) -114.946  24.720    0.0002
 0(   1) -139.666 1(  57) -114.651  25.015    0.0001
 0(   1) -139.666 1(  59) -114.548  25.118    0.0000
 0(   1) -139.666 1(  65) -114.511  25.155    0.0003
 0(   1) -139.666 1(  79) -113.765  25.900    0.0000
 0(   1) -139.666 1(  83) -113.631  26.035    0.0000
 0(   1) -139.666 1(  89) -113.370  26.296    0.0001
 0(   1) -139.666 1( 103) -113.032  26.633    0.0000
 0(   1) -139.666 1( 108) -112.909  26.757    0.0000
 0(   1) -139.666 1( 118) -112.630  27.035    0.0001
 0(   1) -139.666 1( 127) -112.413  27.252    0.0002
 0(   1) -139.666 1( 134) -112.243  27.423    0.0000
 0(   1) -139.666 1( 147) -111.861  27.805    0.0000
 0(   1) -139.666 1( 154) -111.710  27.956    0.0000
 0(   1) -139.666 1( 166) -111.444  28.222    0.0000
 0(   1) -139.666 1( 178) -111.175  28.491    0.0000
 0(   1) -139.666 1( 187) -111.046  28.620    0.0000
 0(   1) -139.666 1( 192) -110.963  28.703    0.0000
 0(   1) -139.666 1( 201) -110.795  28.871    0.0001
 0(   1) -139.666 1( 226) -110.335  29.331    0.0000
 0(   1) -139.666 1( 230) -110.290  29.375    0.0000
 0(   1) -139.666 1( 240) -110.092  29.574    0.0000
 0(   1) -139.666 1( 255) -109.875  29.791    0.0000
 0(   1) -139.666 1( 266) -109.753  29.913    0.0002
 0(   1) -139.666 1( 275) -109.595  30.070    0.0006
 0(   1) -139.666 1( 289) -109.471  30.195    0.0000
 0(   1) -139.666 1( 294) -109.393  30.273    0.0003
 0(   1) -139.666 1( 303) -109.326  30.340    0.0000
 0(   1) -139.666 1( 318) -109.116  30.550    0.0000
 0(   1) -139.666 1( 328) -108.980  30.686    0.0000
 0(   1) -139.666 1( 340) -108.864  30.802    0.0001
 0(   1) -139.666 1( 352) -108.732  30.933    0.0000
 0(   1) -139.666 1( 354) -108.723  30.943    0.0000
 0(   1) -139.666 1( 361) -108.638  31.027    0.0000
 0(   1) -139.666 1( 377) -108.480  31.186    0.0000
 0(   1) -139.666 1( 384) -108.430  31.235    0.0000
 0(   1) -139.666 1( 399) -108.279  31.387    0.0000
 0(   1) -139.666 1( 406) -108.220  31.446    0.0000
 0(   1) -139.666 1( 412) -108.137  31.529    0.0000
 0(   1) -139.666 1( 415) -108.115  31.550    0.0009
 0(   1) -139.666 1( 438) -107.929  31.737    0.0002
 0(   1) -139.666 1( 448) -107.852  31.813    0.0001

 0(   1) -139.666 1( 458) -107.753  31.912    0.0000
 0(   1) -139.666 1( 473) -107.628  32.038    0.0000
 0(   1) -139.666 1( 481) -107.557  32.109    0.0000
 0(   1) -139.666 1( 488) -107.511  32.154    0.0000
 0(   1) -139.666 1( 497) -107.420  32.246    0.0000





