

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_ysox_j0p.wav=O19_ysox_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 5( 241) -109.579  27.731    0.0005
 0(   1) -137.310 5( 247) -109.484  27.826    0.0000
 0(   1) -137.310 5( 255) -109.326  27.984    0.0010
 0(   1) -137.310 5( 262) -109.233  28.077    0.0002
 0(   1) -137.310 5( 267) -109.114  28.197    0.0001
 0(   1) -137.310 5( 270) -109.097  28.214    0.0003
 0(   1) -137.310 5( 274) -109.069  28.242    0.0008
 0(   1) -137.310 5( 284) -108.887  28.424    0.0001
 0(   1) -137.310 5( 286) -108.865  28.445    0.0000
 0(   1) -137.310 5( 288) -108.862  28.449    0.0000
 0(   1) -137.310 5( 296) -108.790  28.520    0.0004
 0(   1) -137.310 5( 301) -108.671  28.639    0.0001
 0(   1) -137.310 5( 308) -108.599  28.711    0.0000
 0(   1) -137.310 5( 312) -108.557  28.753    0.0000
 0(   1) -137.310 5( 316) -108.495  28.815    0.0000
 0(   1) -137.310 5( 318) -108.443  28.867    0.0000
 0(   1) -137.310 5( 321) -108.417  28.893    0.0005
 0(   1) -137.310 5( 328) -108.340  28.971    0.0000
 0(   1) -137.310 5( 339) -108.242  29.068    0.0001
 0(   1) -137.310 5( 341) -108.211  29.099    0.0000
 0(   1) -137.310 5( 345) -108.159  29.152    0.0000
 0(   1) -137.310 5( 351) -108.096  29.215    0.0000
 0(   1) -137.310 5( 354) -108.051  29.259    0.0000
 0(   1) -137.310 5( 360) -107.992  29.318    0.0002
 0(   1) -137.310 5( 368) -107.949  29.362    0.0003
 0(   1) -137.310 5( 369) -107.930  29.380    0.0079
 0(   1) -137.310 5( 377) -107.848  29.462    0.0002
 0(   1) -137.310 5( 381) -107.823  29.487    0.0000
 0(   1) -137.310 5( 386) -107.752  29.558    0.0005
 0(   1) -137.310 5( 388) -107.744  29.567    0.0021
 0(   1) -137.310 5( 395) -107.649  29.661    0.0001
 0(   1) -137.310 5( 401) -107.583  29.727    0.0001
 0(   1) -137.310 5( 409) -107.510  29.800    0.0007
 0(   1) -137.310 5( 412) -107.481  29.829    0.0003
 0(   1) -137.310 5( 422) -107.408  29.902    0.0000
 0(   1) -137.310 5( 426) -107.360  29.950    0.0001
 0(   1) -137.310 5( 430) -107.340  29.970    0.0001
