

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_ysox_j0p.wav=O19_ysox_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 3( 281) -113.118  24.193    0.0102
 0(   1) -137.310 3( 283) -113.074  24.236    0.0156
 0(   1) -137.310 3( 285) -113.141  24.170    0.0558
 0(   1) -137.310 3( 292) -112.987  24.324    0.0006
 0(   1) -137.310 3( 297) -112.923  24.388    0.0005
 0(   1) -137.310 3( 302) -112.847  24.463    0.0976
 0(   1) -137.310 3( 307) -112.776  24.534    0.0054
 0(   1) -137.310 3( 313) -112.669  24.641    0.0093
 0(   1) -137.310 3( 319) -112.592  24.718    0.0284
 0(   1) -137.310 3( 329) -112.484  24.826    0.0064
 0(   1) -137.310 3( 332) -112.447  24.863    0.0057
 0(   1) -137.310 3( 340) -112.335  24.976    0.0036
 0(   1) -137.310 3( 344) -112.283  25.028    0.0173
 0(   1) -137.310 3( 350) -112.188  25.122    0.0562
 0(   1) -137.310 3( 351) -112.121  25.190    0.0158
 0(   1) -137.310 3( 362) -111.992  25.319    0.0450
 0(   1) -137.310 3( 370) -111.909  25.402    0.0092
 0(   1) -137.310 3( 373) -111.848  25.462    0.0017
 0(   1) -137.310 3( 383) -111.793  25.517    0.1795
 0(   1) -137.310 3( 388) -111.757  25.553    0.0000
 0(   1) -137.310 3( 395) -111.701  25.609    0.0185
 0(   1) -137.310 3( 404) -111.542  25.768    0.0231
 0(   1) -137.310 3( 405) -111.465  25.845    0.0057
 0(   1) -137.310 3( 412) -111.404  25.907    0.0070
 0(   1) -137.310 3( 417) -111.317  25.993    0.0078
 0(   1) -137.310 3( 421) -111.322  25.989    0.0354
 0(   1) -137.310 3( 422) -111.269  26.041    0.0379
 0(   1) -137.310 3( 431) -111.155  26.155    0.0021
 0(   1) -137.310 3( 435) -111.141  26.169    0.0054
 0(   1) -137.310 3( 444) -111.104  26.207    0.0150
 0(   1) -137.310 3( 451) -111.016  26.294    0.0000
 0(   1) -137.310 3( 455) -110.947  26.363    0.0001
 0(   1) -137.310 3( 463) -110.906  26.405    0.0041
 0(   1) -137.310 3( 469) -110.816  26.494    0.0103
 0(   1) -137.310 3( 473) -110.789  26.522    0.0028
 0(   1) -137.310 3( 481) -110.749  26.561    0.0002
 0(   1) -137.310 3( 486) -110.644  26.667    0.0255
 0(   1) -137.310 3( 491) -110.613  26.697    0.0010
 0(   1) -137.310 3( 496) -110.530  26.780    0.0005
 0(   1) -137.310 3( 501) -110.530  26.781    0.0252
 0(   1) -137.310 3( 507) -110.435  26.875    0.0047
 0(   1) -137.310 3( 508) -110.488  26.823    0.0327
 0(   1) -137.310 3( 509) -110.391  26.919    0.0001
 0(   1) -137.310 3( 515) -110.311  26.999    0.0004
 0(   1) -137.310 3( 527) -110.246  27.064    0.0055
 0(   1) -137.310 3( 533) -110.223  27.088    0.0066
 0(   1) -137.310 3( 543) -110.132  27.178    0.0049
 0(   1) -137.310 3( 548) -110.044  27.266    0.0045
 0(   1) -137.310 3( 550) -110.038  27.273    0.0035
 0(   1) -137.310 3( 552) -110.041  27.270    0.0004
 0(   1) -137.310 3( 565) -109.891  27.420    0.0002
 0(   1) -137.310 3( 568) -109.881  27.429    0.0125
 0(   1) -137.310 3( 575) -109.819  27.491    0.0129
 0(   1) -137.310 3( 576) -109.871  27.439    0.0006
 0(   1) -137.310 3( 585) -109.710  27.601    0.0040
 0(   1) -137.310 3( 600) -109.646  27.664    0.0014
 0(   1) -137.310 3( 605) -109.563  27.748    0.0006
 0(   1) -137.310 3( 609) -109.582  27.729    0.0029
 0(   1) -137.310 3( 613) -109.552  27.758    0.0048
 0(   1) -137.310 3( 617) -109.473  27.838    0.0006
 0(   1) -137.310 3( 623) -109.472  27.839    0.0088
 0(   1) -137.310 3( 633) -109.334  27.976    0.0002
 0(   1) -137.310 3( 640) -109.287  28.023    0.0001
 0(   1) -137.310 3( 642) -109.299  28.012    0.0003
 0(   1) -137.310 3( 647) -109.222  28.089    0.0090
 0(   1) -137.310 3( 652) -109.197  28.113    0.0001
 0(   1) -137.310 3( 660) -109.173  28.138    0.0042
 0(   1) -137.310 3( 667) -109.075  28.235    0.0001
 0(   1) -137.310 3( 672) -109.057  28.254    0.0017
 0(   1) -137.310 3( 673) -109.060  28.250    0.0003
 0(   1) -137.310 3( 681) -109.000  28.310    0.0031
 0(   1) -137.310 3( 685) -108.958  28.353    0.0012
 0(   1) -137.310 3( 697) -108.841  28.469    0.0001



